likes,body,url
831,"❗Друзья, пожалуйста, прочитайте этот пост❗

Все мы с вами знаем, как тяжело многим из нас приходится в период пандемии и на режиме самоизоляции, но есть, кто просто не может помочь себе самостоятельно: парк флоры и фауны «Роев ручей» на днях рассказал, что из-за сложившейся ситуации и полного отсутствия посетителей сейчас переживает очень тяжелые времена. 

Если вкратце, парк полностью потерял весь доход, нечем не только платить зарплату сотрудникам, но и элементарно содержать животных! 

🐅 Поэтому администрация парка решила запустить акцию #ЯлюблюРоевручей, они предлагают неравнодушным красноярцам сейчас купить входной билет в парк, который будет действовать после открытия, а в качестве бонуса еще и получить их фирменную защитную маску. Стоимость билета — 400 рублей. Заказать билет нужно по телефону 294-20-20, вам его доставят на дом с соблюдением всех мер предосторожности. 

Если вы вдруг сами находитесь в сложной ситуации, хотя бы расскажите об этом посте друзьям, возможно, среди них найдутся желающие помочь! 

❤",https://sun1-97.userapi.com/xS-Z8G2dqj_9PKTu7yswFw1zZpveo76VkXo1nw/oXcfh2s0rng.jpg
24,"Немного жути: в Санкт-Петербурге возле нескольких медучреждений появились контейнеры-рефрижераторы для тел умерших от коронавируса

Как говорят местные власти, большинство из них пока (!) не используется, на данный момент во всем городе установили 8 подобных контейнеров. 

Бррр.",https://sun1-20.userapi.com/5vYG-4HbjkOR57Wi7PLR8Os2Q5iwyehprjwzMA/0Ks7l679U7Q.jpg
28,"Киберпанк, который мы заслужили: в деревнях появились настоящие инновационные колонки

Если точнее, то такое чудо техники нашли где-то в Свердловской области. Там, чтобы набрать воды на колонке, к ней нужно приложить специальную карточку, которая выдается каждой семье в деревне. 

На карточке установлен лимит по литрам в месяц — 900 на одного члена семьи. 

Ждём возвращение продуктовых талонов.",none
20,"Пожар, стиляги и дикие рок-тусы: история старейшего Дворца культуры Красноярска

Вчера, в День весны и труда, красивую дату 77-летия отмечал Дворец культуры на правобережье Красноярска. Пережив тяжёлые годы войны, уничтожительный пожар, советскую оттепель и перестройку, он всегда оставался местом силы и праздника для горожан. Полистаем фотоальбом?

📍Вот здесь вспоминаем самые яркие моменты в судьбе ДК имени 1 Мая: https://newslab.ru/article/965786",https://sun1-97.userapi.com/fYxEHovMk_WRvNx6F2mhDg1Cyi2VdXj173sQJQ/W_Ir_ZgoZ0M.jpg
55,"А тем временем на клумбах Красноярска уже распустились первые тюльпаны 🌷

Вот, например, в сквере Строителей на Батурина. Там же, кстати, запустили первый в этом году фонтан. 

Доброе утро, друзья! Отличных вам выходных!",https://sun1-26.userapi.com/nZCcC95RAJSJydIOaQ8tu8fY-0PKIHXzwU8E3g/_WEoiNFcEDs.jpg
18,"⚡ В Красноярском крае впервые за время пандемии количество выздоровевших за сутки превысило количество заболевших

За день прошедший в нашем регионе было зарегистрировано 60 выздоровевших и 48 заболевших. И это, на самом-то деле, звучит уже воодушевляюще. 

Ситуация по миру / России такова:
Заболевших — 3 335 941 (+29 313) / 114.532 (+7 901) 
Выздоровевших — 1 057 340 (+14 413) / 13 282 (+1 653)
Погибших — 235 151 (+1 313) / 1 172 (+96)

На карантине в Красноярском крае — 1 784

Главные новости: 
🦠Из-за коронавируса в Красноярске введен карантин в жилом доме по адресу Краснопресненская, 31, там проживает около 40 человек
🦠Российский премьер-министр Михаил Мишустин заразился коронавирусом
🦠Правительство РФ выделяет 500 млн руб. на оказание соцподдержки соотечественникам, временно не могущим вернуться на родину
🦠ФАС совместно с прокуратурой пресекла завышение цен на медицинские маски, один из оптовых продавцов повысил стоимость масок на 957 процентов.
🦠Роспотребнадзор рекомендует по возможности отложить все плановые прививки в условиях распространения коронавируса
🦠Россия подходит к важнейшему рубежу в борьбе с коронавирусом, и ответственное поведение каждого является сейчас решающим фактором в победе над COVID-19, заявил министр здравоохранения России Михаила Мурашко
🦠В Роспотребнадзоре предупреждают, что после спада заболеваемости летом новая коронавирусная инфекция может вернуться осенью, и в результате будет еще одна волна заболевания.
🦠Всемирная организация здравоохранения (ВОЗ) призвала власти Китая пригласить ее экспертов к расследованию об истоках коронавируса нового типа
🦠Пандемия коронавируса COVID-19 может длиться два года, и ее не удастся взять под контроль, пока две трети населения Земли не приобретут иммунитет к этому вирусу — агентство Bloomberg со ссылкой на исследование центра по изучению инфекционных заболеваний при Университете Миннесоты
🦠В России зафиксировано 7933 новых случаев заражения коронавирусом – рекорд

Как ваш первый выходной, господа красноярцы?",https://sun1-23.userapi.com/U_aM2QzxJt9i0mm6tX4jJFwzvRjDeObkJq3oKA/NnYlMwW0m28.jpg
8,"«Отмечаем дома!»: инструкция по самоизоляции на майские праздники в Красноярске

Режим самоизоляции продлили по всей стране до 11 мая. Но впереди долгие мини-каникулы — целых 11 дней выходных. Хочется на природу, на воздух, но нет — все еще нельзя. 

📍 Мы напомним, что все еще запрещено делать в Красноярске, а также даст новые рекомендации на майские праздники, всё здесь: https://newslab.ru/article/965925

Друзья, ну, признавайтесь, собираетесь нарушать самоизоляцию?",https://sun1-25.userapi.com/YrJV1EZ1Ipv42z31NQQXmTmSQhSiDusx7HAnsw/FlAYpCUyP6A.jpg
35,"Думается, что какие-либо комментарии здесь излишни 

Даже шутить не хочется ¯\_(ツ)_/¯",https://sun1-17.userapi.com/b1lQvM8St-i2Y6HmsdFZRSz-9iIrg8Nn9C2Ogg/f1B1qLL1Btw.jpg
18,"⚡ Еще немного первой в этом году грозы. Видео от подписчика

Завораживает.",none
38,"Весеннее обострение в действии? Красноярец пойдет под суд за то, что выбросил в мусоропровод кошку 

Произошло всё на днях в Железнодорожном районе города. Там 34-летний мужчина, изрядно накатив чего-то крепкоалкогольного, не нашел себе развлечения лучше, чем выкинуть в мусоропровод кошку, с, на минуточку, седьмого этажа. 

Прибывшие на вызов сотрудники ППСП обнаружили животное в мусорной камере и передали его хозяйке. В результате падения кошка получила увечья, ей сделали операцию. Сверхразум сотрудникам полиции пояснил, что кошка вызывала у него неприязнь. Теперь ему грозит до 3 лет колонии (максимально наказание по статье 245 УК РФ)

Надеемся, с кошкой все будет хорошо 💔",https://sun1-97.userapi.com/x3_5KSeodTEdsdW6S9aH6tzZMuLWiekBwvtKyQ/09G3KMapnA0.jpg
